,EBIT / total assets,short-term liabilities / total assets,current assets / short-term liabilities,(current assets - inventory - receivables) / short-term liabilities,retained earnings / total assets,equity / total assets,total sales / total assets,(gross profit + depreciation) / total liabilities,gross profit / sales,total liabilities / ((profit on operating activities + depreciation) * (12/365)),(inventory * 365) / cost of products sold,profit on sales / total assets,gross profit (in 3 years) / total assets,(equity - share capital) / total assets,equity / fixed assets,logarithm of total assets,(total liabilities - cash) / sales,(short-term liabilities * 365) / cost of products sold),sales / short-term liabilities,operating expenses / total liabilities,profit on operating activities / sales,rotation receivables + inventory turnover in days,(receivables * 365) / sales,working capital,(sales - cost of products sold) / sales,(current assets - inventory - short-term liabilities) / (sales - gross profit - depreciation),total costs /total sales,long-term liabilities / equity,sales / receivables,sales / fixed assets,working capital / total assets,class
0,0.21946,0.41298999999999997,1.348,0.21282,0.60383,0.46358999999999995,1.8079,0.6163,0.12272,0.041124,44.941,0.2951,0.75641,0.46358999999999995,1.0457,5.9473,0.22493,0.27622,4.3303,0.71453,0.16501,95.682,58.109,127280.0,0.16396,0.37574,0.83604,6.5269e-06,6.2813,4.0341,0.14371,0
2,0.0045718,0.22612,3.1599,0.84469,0.19114,0.67566,1.3425,0.1743,0.0035921,0.098528,54.296,0.04061,0.2347,0.67566,2.3667,4.622,0.036196,0.17903,5.6287,0.1796,0.031907,150.13,96.251,20453.0,0.0076387,0.00088105,0.99236,0.0,3.7922,4.4581,0.48839,0
3,0.024526,0.35164,1.7833,0.17826,0.56944,0.56453,1.3068,0.11063,0.018876,0.1805,90.707,0.055446,0.56944,0.56453,1.5139,4.26,0.28624,0.2844,3.695,0.12824,0.042673,158.55,72.237,5012.6,0.048398,0.043445,0.9516,0.14298,5.0528,3.4844,0.27546,0
4,0.23358,0.36891,1.9279,0.013769,0.0,0.58496,1.3393,0.606,0.17441,0.054712,171.05,0.23635,0.0,0.5725,2.0256,4.6033,0.30691,0.33449,3.6303,2.6574,0.17542,192.45,51.585,13730.0,0.17648,0.32188,0.82635,0.07303899999999999,7.0756,4.6375,0.34231,0
7,0.013422,0.56606,1.2393,0.46285,-0.0014006,0.32934,1.1825,0.083733,0.011351,0.25159,53.392,0.23389000000000001,0.0,0.3105,1.1034,5.9673,0.56717,0.57291,2.0889,1.4733,0.039003,135.67,91.058,1.2393,0.1978,0.029854000000000002,0.83478,0.14394,4.0084,3.9616,0.13546,0
10,-0.12478,0.08968,2.6622,0.17146,-0.20856,0.80524,0.50197,-0.12741,-0.27475,-0.26207,112.71,-0.12460999999999998,-0.19542,0.80524,1.0578,4.0259,0.18671,0.15034,5.0642,-1.3895,-0.27437,179.52,31.473,1582.1,-0.31347,-0.16187,1.3135,0.0,11.597,0.59659,0.14907,0
11,0.10728,0.34464,2.694,0.40927,0.6389699999999999,0.59714,2.3426,0.31597,0.045977,0.11213,58.773,0.09811,0.79947,0.59714,8.3437,3.8571,0.11417,0.15472,6.7706,0.24353,0.042046,123.17,67.061,4201.0,0.045381,0.13987,0.95462,0.09751,5.4428,32.604,0.5838,0
12,0.098854,0.048757999999999996,3.6396,0.056287,0.26136,0.80801,0.38294,0.55334,0.27573,0.076122,58.027,0.075537,0.30662,0.80801,0.98233,5.1246,0.53541,0.17163,7.3529,0.39343,0.21069,177.87,131.89,17148.0,0.2076,0.10346,0.7924,0.17727,2.7674,0.43586,0.1287,0
13,0.094949,0.12190999999999999,3.5654,0.85355,0.011692000000000001,0.75392,0.86431,0.47856,0.11101,0.071621,100.83,0.090144,0.024163,0.75392,1.3335,4.8684,0.2118,0.15845,7.0163,0.36632,0.10539,141.07,50.38,23101.0,0.10051,0.1087,0.89949,0.1647,7.2449,1.5129,0.31273,0
15,0.0138,0.8737299999999999,0.86281,0.22688,-0.72145,0.077405,1.2284,0.024222,0.013225,-0.21196,88.222,-0.14289000000000002,-0.71961,0.077405,0.31449,5.103,0.64605,0.76855,1.1943,-0.16354,-0.13693,194.36,98.242,-15195.0,-0.08951,0.17828,1.0895,0.0,3.7153,4.2395,-0.11986,0
16,0.34154,0.22651999999999997,3.4857,1.3206,0.8854299999999999,0.73323,1.7206,1.743,0.20198,0.019178,29.841,0.33503,1.1001,0.73323,3.4849,4.3354,-0.035694,0.16567,7.4647,1.479,0.19813,105.87,81.735,12188.0,0.19136,0.37571,0.80864,0.0,4.4656,8.0368,0.56308,0
17,-0.089098,0.24891,2.5032,0.7772,0.084199,0.74725,1.5566,-0.1381,-0.058747,-0.17306,48.079,-0.10201,0.13816,0.74725,1.9825,4.3735,0.039443,0.15192,6.0931,-0.40983,-0.067262,103.4,51.458,8843.1,-0.080281,-0.12563,1.0803,0.0,7.0932,4.0238,0.37417,0
22,0.029986000000000002,0.6472100000000001,0.97797,0.0031341,-0.1195,0.1713,0.94078,0.054287,0.032167,0.45861,33.859,0.04381,-0.1195,0.1713,0.46671,5.0929,0.85013,0.75259,1.4403,0.055144,0.046996,247.04,215.8,-1765.4,0.077483,0.17505,0.92252,0.8597,1.6914,2.5398,-0.014255,0
30,0.11652,0.13949,4.2506,1.5855,0.30143000000000003,0.66547,1.2358,1.0483,0.099663,0.031824,72.721,0.11415,0.3564,0.66547,1.6347,4.5369,-0.052424,0.13016,8.3818,0.73382,0.097636,116.06,49.399,15611.0,0.083394,0.13906,0.91661,0.024148,7.3888,2.872,0.45342,0
32,0.23145,0.13343,6.4233,3.5821,0.61529,0.83105,1.1355,1.907,0.20735,0.018148,62.082,0.21871,0.74307,0.83105,5.8144,4.6401,-0.30815,0.14798,8.3655,1.6391,0.19594,123.97,73.815,31595.0,0.19217,0.25366,0.80783,0.0,4.9448,7.8095,0.72364,0
34,-0.01251,0.7672,0.64743,0.044312,-0.155,0.0030976,1.0126,0.03879,-0.012717,0.66657,43.693,-0.0020465,-0.155,0.0030976,0.0061547,4.9825,0.97642,0.77462,1.2822,-0.0020601,-0.0020805,171.7,127.7,-25979.0,-0.0068647,-4.0385,1.0069,73.03,2.8582,1.9545,-0.27049,0
35,0.044384,0.94504,0.43939,0.12617,-0.52553,-0.15020999999999998,1.82,0.10461,0.026127,0.18196,18.21,0.12534,-0.52553,-0.15020999999999998,-0.25687,4.0275,0.59029,0.59754,1.7975,0.11777,0.073786,63.6,46.646,-5644.0,0.068995,-0.29548,0.931,-0.79393,7.8248,2.905,-0.5298,0
37,0.18975999999999998,0.51454,1.6816,0.2887,0.43435,0.2932,3.0345,0.2774,0.065649,0.11249,47.174,0.20026,0.43435,0.2932,2.1756,4.3833,0.19347,0.1917,5.6177,0.28333,0.069281,90.499,46.695,8476.2,0.071424,0.6472100000000001,0.92858,0.65576,7.8168,21.449,0.3507,0
42,-0.014792,0.41086999999999996,1.442,0.18714,-0.007756,0.45838,1.0179,0.066031,-0.014795,0.29487,130.15,0.0096438,-0.0043643,0.45838,1.1247,4.0916,0.47171,0.41052,2.4334,0.017943,0.0096456,188.22,57.937,2242.3,-0.0010255,-0.029164999999999996,1.001,0.27621,6.3,2.4533,0.18159,0
43,0.23794,0.59362,1.0551,0.040722,0.12649000000000002,0.32623,2.6133,0.39788,0.091328,0.081313,36.64,0.24222,0.15416,0.32623,0.87308,4.2989999999999995,0.24596,0.25058,4.389,0.36472,0.092971,84.362,51.047,651.55,0.090741,0.58813,0.90926,0.21613000000000002,7.1503,6.9727,0.032727,0
45,0.14407,0.43823999999999996,1.737,0.25803,0.29632,0.52288,1.476,0.37235,0.10121,0.10003,25.337,0.12435999999999998,0.34497,0.52288,2.1898,4.9038,0.31538,0.33895,3.2482,0.27565,0.08736,166.19,143.18,25883.0,0.091716,0.22941999999999999,0.90828,0.024661000000000002,2.5493,5.9616,0.32298000000000004,0
52,0.14685,0.19053,3.9755,1.6651,0.37618,0.79669,1.9808,1.1546,0.077613,0.027343,48.934,0.15595,0.47109,0.79669,3.2845,5.3915,-0.049466,0.11105,9.9305,0.81854,0.082427,84.923,40.552,139660.0,0.093245,0.1479,0.90676,0.0,9.0008,7.8004,0.56692,0
53,0.15042,0.19726,3.697,0.46806,0.36838000000000004,0.73109,1.1804,0.96699,0.1302,0.033602,58.28,0.15269000000000002,0.45271,0.73109,2.7002,4.8707,0.15943,0.1945,5.8565,0.76726,0.13217,201.24,150.07,39500.0,0.12209,0.16696,0.87791,0.0023897,2.4322,4.2668,0.53199,0
54,0.19712000000000002,0.14240999999999998,1.6701,0.050817,0.32483,0.82989,0.41076,1.4401,0.76667,0.022138,381.94,0.20359000000000002,0.34916,0.82989,1.0889,3.7222,0.53525,0.69868,1.8055,1.4166,0.79183,327.36,24.573,503.31,0.20725,0.21219000000000002,0.79275,0.0015785999999999999,14.854,0.33734,0.095422,0
55,0.1737,0.5887100000000001,1.3002,0.06788,0.19155999999999998,0.32482,3.5113,0.36597,0.050433,0.10072,35.801,0.15041,0.23804,0.32482,1.3849,5.004,0.16208,0.18555,5.8503,0.25549,0.043671,76.885,43.905,17836.0,0.078791,0.43822,0.92121,0.0,8.3134,14.685,0.17675,0
56,0.035916000000000003,0.14490999999999998,0.39234,0.035178,0.093308,0.43428999999999995,0.5214300000000001,0.3187,0.070235,0.089907,1.903,0.048787,0.1246,0.43428999999999995,0.46047,5.184,0.53321,0.31136,3.5288,0.17805,0.095405,36.943,35.211,-13452.0,0.089849,0.0674,0.91015,0.29727,10.366,0.5422,-0.088058,0
57,0.097222,0.77982,1.1496,0.015909,0.03942,0.19296,2.549,0.1791,0.038182,0.15506,16.185,0.12289000000000001,0.03942,0.19296,1.8644,4.6419999999999995,0.30145,0.32174,3.2652,0.15759,0.048265,126.73,111.33,5117.4,0.048092,0.50385,0.95191,0.0,3.2786,24.602,0.11667999999999999,0
60,0.044851999999999996,0.57605,1.3663,0.15118,-0.16891,0.22701,1.2788,0.14323,0.035404,0.15305,109.44,0.098254,-0.17065,0.22701,1.0662,4.2665,0.52153,0.49831,2.1993,0.13169,0.077555,201.67,101.81,3897.7,0.087522,0.20521,0.91248,0.74916,3.5851,5.9503,0.21103000000000002,0
61,0.19401,0.25631,3.6571,0.40699,0.15619,0.7154,1.9167,0.82569,0.10212,0.039143,64.669,0.19766,0.19401,0.7154,11.42,4.0528,0.081708,0.15245,7.4123,0.77117,0.10404,160.04,102.82,7691.4,0.11507,0.21833000000000002,0.88493,0.0,3.55,30.327,0.68104,0
63,0.032353,0.40699,1.888,0.77276,-0.12053,0.26537,3.9541,0.17369,0.0082751,0.2105,14.539,0.025230000000000002,-0.13443,0.26537,1.1459,3.8719,0.025458,0.10432,9.6064,0.061991,0.006453,42.375,27.867,2691.0,0.002148,0.10259000000000001,0.99785,0.0,13.098,16.882,0.36141999999999996,0
64,0.19130999999999998,0.34044,1.5882,0.38973,0.40533,0.41045,1.3744,0.38337,0.14133,0.076026,52.811,0.21955999999999998,0.50291,0.41045,0.89365,4.6687,0.32915,0.30219,3.9762,0.38141,0.1622,110.02,66.069,9339.7,0.16775,0.3715,0.83225,0.57305,5.5245,2.9472,0.20026,0
66,0.010435999999999999,0.10480999999999999,7.2099,4.8963,-0.0023766,0.8724200000000001,0.6062,0.40768,0.018387,0.17685,58.984,-0.012808000000000002,0.014319,0.8724200000000001,3.5705,5.0483,-0.69218,0.1936,5.4156,-0.1222,-0.022565,155.93,99.676,72745.0,0.04623,0.0078905,0.95377,0.0,3.6618,2.3229,0.65085,0
68,0.090058,0.06517200000000001,8.8368,7.8478,0.2338,0.92881,0.9721,1.4348,0.094637,0.028595,0.0,0.07148099999999999,0.29233,0.92881,2.1901,4.9308,-0.4588,0.07596,14.602,1.0968,0.075115,24.723,24.723,43549.0,0.098408,0.076228,0.90159,0.0,14.764,2.2439,0.51074,0
70,0.026635000000000002,0.15122,5.3002,3.1336,0.36086,0.8463299999999999,1.4299,0.63336,0.019366,0.042353,0.0,0.048243,0.43384,0.8463299999999999,4.2631,3.0286,-0.094021,0.11023,9.0951,0.31903,0.035077,86.949,86.949,694.57,0.0025867,0.026493,0.99741,0.0,4.1979,6.9278,0.6502600000000001,0
71,0.03274,0.29427,1.6512,0.37893,0.24829,0.61261,1.9329,0.21263,0.017387,0.18001,2.3511,0.023773,0.30085,0.61261,1.1917,4.5938,0.12696,0.16371,6.3989,0.079533,0.012625,72.574,70.329,7521.8,0.045393,0.042672,0.95461,0.0075673,5.1899,3.6629,0.19164,0
72,0.10107999999999999,0.20690999999999998,1.9896,0.074234,0.46655,0.7475,0.94029,0.46699,0.11534,0.074165,14.929,0.095101,0.59307,0.7475,1.2705,4.4949,0.27749,0.25283,4.2357,0.37663,0.10851,165.05,151.11,6399.0,0.066233,0.10578,0.93377,0.061002,2.4154,1.4896,0.20476,0
73,0.057686,0.32983,2.1865,0.74215,0.16046,0.6028399999999999,1.3354,0.22119,0.044076,0.16175,5.2936,0.051745000000000006,0.20683,0.6028399999999999,2.162,5.0504,0.10445,0.25989,3.9681,0.15616,0.039536,132.86,127.72,43953.0,0.030345,0.07556,0.96966,0.0025346,2.8578,4.6937,0.39134,0
81,0.14687,0.13469,5.2805,1.5555,0.36458,0.86531,0.95319,1.2771,0.15573,0.026893,66.875,0.13952,0.45308,0.86531,2.9968,4.5675,-0.077745,0.16793,7.0019,1.0358,0.14793,194.18,137.31,21298.0,0.14956,0.13645,0.85044,0.0,2.6583,3.2663,0.5765600000000001,0
90,0.096424,0.12312000000000001,3.4763,1.7047,0.19044,0.8025800000000001,1.3738,1.1377,0.070801,0.022547,25.012,0.13741,0.26165,0.8025800000000001,1.4031,4.0761,-0.058734,0.10075,11.062,1.0744,0.1009,58.454,36.012,3632.8,0.10272,0.080676,0.89728,0.005957,10.136,2.3809,0.30487,0
91,0.061969,0.35793,2.4839,1.9423,0.052316999999999995,0.23235999999999998,1.123,0.1972,0.056171,0.19856,3.7176,0.050649,0.084826,0.23235999999999998,2.0942,4.8326,-0.22725,0.33786,3.0822,0.14151,0.045911,64.128,60.559,36125.0,0.039721,0.17734,0.96028,0.0,6.0272,9.9431,0.53112,0
92,0.028085000000000002,0.25063,1.7584,0.082147,0.17999,0.58977,1.0073,0.44012,0.02878,0.072279,80.251,0.032003,0.23014,0.58977,1.0545,4.8759,0.25288,0.26674,3.8936,0.12041,0.032794,157.14,79.871,14283.0,0.037161,0.035771,0.96284,0.025669,4.5698,1.7449,0.19009,0
93,0.006821600000000001,0.12385999999999998,1.8243,0.14007,0.12170999999999998,0.59273,0.40146,0.24771,0.01831,0.11903,123.55,0.014685,0.14944,0.59273,0.76577,4.7293,0.69513,0.33561,3.0078,0.053215,0.039416,204.38,81.99,5474.4,0.0093625,0.010268000000000001,0.99064,0.25659,4.4518,0.48132,0.1021,0
98,0.027491,0.24053000000000002,2.1622,0.78231,0.044400999999999996,0.66572,1.1473,0.2266,0.023961,0.11242,11.707,0.13934000000000002,0.0,0.65567,1.3871,5.2529,0.26694,0.23603,4.77,3.3274,0.042619,105.59,95.19,2.1622,0.12145,0.0,0.89097,0.098751,3.8344,2.3906,0.27954,0
100,0.05611699999999999,0.33133,2.0505,1.0904,-0.0034299,0.26508000000000004,2.299,0.25198,0.0245,0.13724,4.7318,0.051932000000000006,0.0032768,0.26508000000000004,0.82683,4.2921,-0.0097398,0.14801,6.9131,0.15411,0.022673,50.696,46.071,6819.6,0.022686,0.16316,0.97731,0.021314,7.9225,7.1443,0.34807,0
